make,model,year,source,license,url,local_path
Alfa Romeo,Giulia,2025,placeholder,N/A,,Alfa_Romeo/Giulia/ph_01.png
Alfa Romeo,Stelvio,2025,placeholder,N/A,,Alfa_Romeo/Stelvio/ph_01.png
Alfa Romeo,Tonale,2025,placeholder,N/A,,Alfa_Romeo/Tonale/ph_01.png
Audi,A3,2025,placeholder,N/A,,Audi/A3/ph_01.png
Audi,A4,2025,placeholder,N/A,,Audi/A4/ph_01.png
Audi,Q2,2025,placeholder,N/A,,Audi/Q2/ph_01.png
Audi,Q3,2025,placeholder,N/A,,Audi/Q3/ph_01.png
Audi,Q4 e-tron,2025,placeholder,N/A,,Audi/Q4_e-tron/ph_01.png
Audi,Q5,2025,placeholder,N/A,,Audi/Q5/ph_01.png
BMW,1 Series,2025,placeholder,N/A,,BMW/1_Series/ph_01.png
BMW,3 Series,2025,placeholder,N/A,,BMW/3_Series/ph_01.png
BMW,X1,2025,placeholder,N/A,,BMW/X1/ph_01.png
BMW,X3,2025,placeholder,N/A,,BMW/X3/ph_01.png
BMW,i4,2025,placeholder,N/A,,BMW/i4/ph_01.png
BMW,iX1,2025,placeholder,N/A,,BMW/iX1/ph_01.png
BYD,Atto 3,2025,placeholder,N/A,,BYD/Atto_3/ph_01.png
BYD,Dolphin,2025,placeholder,N/A,,BYD/Dolphin/ph_01.png
BYD,Han,2025,placeholder,N/A,,BYD/Han/ph_01.png
BYD,Seal,2025,placeholder,N/A,,BYD/Seal/ph_01.png
Chery,Omoda 5,2025,placeholder,N/A,,Chery/Omoda_5/ph_01.png
Chery,Tiggo 7 Pro,2025,placeholder,N/A,,Chery/Tiggo_7_Pro/ph_01.png
Chery,Tiggo 8 Pro,2025,placeholder,N/A,,Chery/Tiggo_8_Pro/ph_01.png
Chevrolet,Blazer,2025,placeholder,N/A,,Chevrolet/Blazer/ph_01.png
Chevrolet,Equinox,2025,placeholder,N/A,,Chevrolet/Equinox/ph_01.png
Chevrolet,Malibu,2025,placeholder,N/A,,Chevrolet/Malibu/ph_01.png
Chevrolet,Spark,2025,placeholder,N/A,,Chevrolet/Spark/ph_01.png
Chevrolet,Trax,2025,placeholder,N/A,,Chevrolet/Trax/ph_01.png
Citroën,C3,2025,placeholder,N/A,,Citron/C3/ph_01.png
Citroën,C3 Aircross,2025,placeholder,N/A,,Citron/C3_Aircross/ph_01.png
Citroën,C4,2025,placeholder,N/A,,Citron/C4/ph_01.png
Citroën,C5 Aircross,2025,placeholder,N/A,,Citron/C5_Aircross/ph_01.png
Citroën,ë-C4,2025,placeholder,N/A,,Citron/-C4/ph_01.png
Dacia,Duster,2025,placeholder,N/A,,Dacia/Duster/ph_01.png
Dacia,Jogger,2025,placeholder,N/A,,Dacia/Jogger/ph_01.png
Dacia,Sandero,2025,placeholder,N/A,,Dacia/Sandero/ph_01.png
Dacia,Spring,2025,placeholder,N/A,,Dacia/Spring/ph_01.png
Fiat,500,2025,placeholder,N/A,,Fiat/500/ph_01.png
Fiat,500X,2025,placeholder,N/A,,Fiat/500X/ph_01.png
Fiat,Panda,2025,placeholder,N/A,,Fiat/Panda/ph_01.png
Fiat,Tipo,2025,placeholder,N/A,,Fiat/Tipo/ph_01.png
Ford,Fiesta,2025,placeholder,N/A,,Ford/Fiesta/ph_01.png
Ford,Focus,2025,placeholder,N/A,,Ford/Focus/ph_01.png
Ford,Kuga,2025,placeholder,N/A,,Ford/Kuga/ph_01.png
Ford,Mustang Mach-E,2025,placeholder,N/A,,Ford/Mustang_Mach-E/ph_01.png
Ford,Puma,2025,placeholder,N/A,,Ford/Puma/ph_01.png
Geely,Emgrand,2025,placeholder,N/A,,Geely/Emgrand/ph_01.png
Geely,Geometry C,2025,placeholder,N/A,,Geely/Geometry_C/ph_01.png
Geely,Geometry E,2025,placeholder,N/A,,Geely/Geometry_E/ph_01.png
Great Wall,Haval H2,2025,placeholder,N/A,,Great_Wall/Haval_H2/ph_01.png
Great Wall,Haval Jolion,2025,placeholder,N/A,,Great_Wall/Haval_Jolion/ph_01.png
Great Wall,Ora Funky Cat,2025,placeholder,N/A,,Great_Wall/Ora_Funky_Cat/ph_01.png
Honda,Accord,2025,placeholder,N/A,,Honda/Accord/ph_01.png
Honda,CR-V,2025,placeholder,N/A,,Honda/CR-V/ph_01.png
Honda,Civic,2025,placeholder,N/A,,Honda/Civic/ph_01.png
Honda,HR-V,2025,placeholder,N/A,,Honda/HR-V/ph_01.png
Honda,Jazz,2025,placeholder,N/A,,Honda/Jazz/ph_01.png
Honda,e:Ny1,2025,placeholder,N/A,,Honda/eNy1/ph_01.png
Hyundai,Elantra,2025,placeholder,N/A,,Hyundai/Elantra/ph_01.png
Hyundai,Ioniq 5,2025,placeholder,N/A,,Hyundai/Ioniq_5/ph_01.png
Hyundai,Kona,2025,placeholder,N/A,,Hyundai/Kona/ph_01.png
Hyundai,Tucson,2025,placeholder,N/A,,Hyundai/Tucson/ph_01.png
Hyundai,i10,2025,placeholder,N/A,,Hyundai/i10/ph_01.png
